date,open,high,low,close,volume,oi
2010-05-21T00:00:00+05:30,349.55,357.38,337.37,353.84,2675092,0
2010-05-24T00:00:00+05:30,356.94,359.4,350.88,353.29,2885428,0
2010-05-25T00:00:00+05:30,348.57,351.52,340.47,344.41,2297366,0
2010-05-26T00:00:00+05:30,348.57,366.69,346.65,363.34,3689464,0
2010-05-27T00:00:00+05:30,361.86,369.22,358.02,365.23,6883872,0
2010-05-28T00:00:00+05:30,369.15,370.97,362.11,369.64,2479374,0
2010-05-31T00:00:00+05:30,368.51,370.67,363.34,365.82,3327660,0
2010-06-01T00:00:00+05:30,365.82,370.21,361.71,363.93,3136912,0
2010-06-02T00:00:00+05:30,363.24,373.92,362.5,371.34,2769330,0
2010-06-03T00:00:00+05:30,374.17,378.6,366.83,376.85,1684434,0
2010-06-04T00:00:00+05:30,376.85,378.94,371.81,376.8,1368210,0
2010-06-07T00:00:00+05:30,369.2,373.09,362.35,370.85,1734922,0
2010-06-08T00:00:00+05:30,371.22,375.15,367.77,369.34,2242222,0
2010-06-09T00:00:00+05:30,370.23,373.46,359.89,360.9,4867400,0
2010-06-10T00:00:00+05:30,359.4,370.72,359.4,369.49,1796036,0
2010-06-11T00:00:00+05:30,375.06,375.79,369.74,373.73,3237024,0
2010-06-14T00:00:00+05:30,375.82,387.51,373.18,384.51,3550492,0
2010-06-15T00:00:00+05:30,372.52,382.88,372.52,377.17,2642976,0
2010-06-16T00:00:00+05:30,382.59,383.99,377.76,381.46,2328816,0
2010-06-17T00:00:00+05:30,382.54,386.38,375.99,381.7,1528920,0
2010-06-18T00:00:00+05:30,381.7,388.4,380.2,385.59,2225672,0
2010-06-21T00:00:00+05:30,390.37,390.91,386.28,387.81,1907428,0
2010-06-22T00:00:00+05:30,386.48,387.22,380.72,383.35,1468324,0
2010-06-23T00:00:00+05:30,379.09,388.42,379.02,387.12,2959524,0
2010-06-24T00:00:00+05:30,387.12,388.2,377.96,380.79,3777510,0
2010-06-25T00:00:00+05:30,381.95,381.95,372.25,373.43,2037322,0
2010-06-28T00:00:00+05:30,373.41,377.69,372.99,376.51,1153124,0
2010-06-29T00:00:00+05:30,376.63,376.63,368.75,371.12,2614662,0
2010-06-30T00:00:00+05:30,371.71,374.12,364.94,369.74,3316516,0
2010-07-01T00:00:00+05:30,369.25,369.25,357.31,360.38,3407744,0
